"","x"
"119","consensus"
"120","consultation"
"121","consultations"
"122","continuity of care"
"123","continuous positive airway pressure"
"124","copd"
"125","corona"
"126","coronary artery"
"127","coronary artery disease"
"128","coronary heart disease"
"129","coronavirus"
"130","coronavirus disease 2019"
"131","cost"
"132","cost-benefit"
"133","cost-effectiveness"
"134","cost analysis"
"135","cost effectiveness"
"136","costs"
"137","counseling"
"138","covid"
"139","covid-19"
"140","covid-19 pandemic"
"141","cpap adherence"
"142","critical care"
"143","cvd"
"144","cystic fibrosis"
"145","data analytics"
"146","decision making"
"147","decision support"
"148","delivery of care"
"149","delivery of health care"
"150","delivery of healthcare"
"151","dementia"
"152","dentistry"
"153","depression"
"154","dermatology"
"155","dermoscopy"
"156","design"
"157","developing countries"
"158","device"
"159","devices"
"160","diabetes"
"161","diabetes management"
"162","diabetes mellitus"
"163","diabetic retinopathy"
"164","diagnosis"
"165","diagnostics"
"166","dialysis"
"167","diet"
"168","digital"
"169","digital health"
"170","digital technologies"
"171","digital technology"
"172","disability"
"173","disasters"
"174","discharge"
"175","disease"
"176","disease management"
"177","disorder"
"178","disparities"
"179","disparity"
"180","dissemination"
"181","doctor-patient relationship"
"182","e-consult"
"183","e-health"
"184","e-mental health"
"185","early diagnosis"
"186","eating disorder"
"187","echo"
"188","economic"
"189","economic evaluation"
"190","economics"
"191","econsult"
"192","education"
"193","effectiveness"
"194","ehealth"
"195","elderly"
"196","electronic consultation"
"197","electronic health"
"198","electronic health record"
"199","electronic health records"
"200","emental health"
"201","emergencies"
"202","emergency"
"203","emergency care"
"204","emergency department"
"205","emergency medical services"
"206","emergency medicine"
"207","engagement"
"208","epidemiology"
"209","epilepsy"
"210","equity"
"211","ethics"
"212","ethnic"
"213","evaluation"
"214","evidence"
"215","evidence-based"
"216","exacerbation"
"217","exercise"
"218","exercise training"
"219","facilitators"
"220","family"
"221","fatigue"
"222","feasibility"
"223","fitness"
"224","focus groups"
"225","follow-up"
"226","forward"
"227","fracture"
"228","general"
"229","general practice"
"230","geriatrics"
"231","gestational"
"232","gestational diabetes"
"233","global"
"234","global health"
"235","group"
"236","group therapy"
"237","guideline"
"238","guidelines"
"239","gynecology"
"240","head"
"241","headache"
"242","health"
"243","health-related quality of life"
"244","health behavior"
"245","health care"
"246","health care costs"
"247","health care delivery"
"248","health care providers"
"249","health care systems"
"250","health disparities"
"251","health economics"
"252","health equity"
"253","health informatics"
"254","health information technology"
"255","health literacy"
"256","health monitoring"
"257","health outcomes"
"258","health promotion"
"259","health service"
"260","health services"
"261","health systems"
"262","health technology"
"263","healthcare"
"264","healthcare access"
"265","healthcare delivery"
"266","healthcare providers"
"267","healthcare services"
"268","healthy lifestyle"
"269","heart disease"
"270","heart failure"
"271","hepatitis c"
"272","hepatitis c virus"
"273","hip"
"274","history"
"275","hiv"
"276","home"
"277","home-based"
"278","home blood pressure"
"279","home care"
"280","home care services"
"281","home monitoring"
"282","home rehabilitation"
"283","home telehealth"
"284","home telemonitoring"
"285","hospital"
"286","hospitalization"
"287","hospitalizations"
"288","hospitals"
"289","hub"
"290","human"
"291","human immunodeficiency virus"
"292","hypertension"
"293","ict"
"294","illness"
"295","imaging"
"296","impact"
"297","implementation"
"298","india"
"299","indigenous"
"300","inequalities"
"301","infarction"
"302","infectious diseases"
"303","inflammatory bowel disease"
"304","informatics"
"305","information"
"306","information systems"
"307","information technology"
"308","informed consent"
"309","injuries"
"310","innovation"
"311","insomnia"
"312","insulin"
"313","integrated"
"314","integrated care"
"315","intensive care unit"
"316","intention"
"317","interdisciplinary"
"318","internet"
"319","internet of things"
"320","interoperability"
"321","intervention"
"322","interventions"
"323","intimate partner violence"
"324","ischemic stroke"
"325","kidney disease"
"326","knee"
"327","language"
"328","laser"
"329","latin america"
"330","learning"
"331","legal"
"332","legislation"
"333","length of stay"
"334","lifestyle"
"335","literature review"
"336","lmic"
"337","low"
"338","low-"
"339","low-income countries"
"340","lung"
"341","m-health"
"342","machine learning"
"343","management"
"344","mechanical thrombectomy"
"345","medical"
"346","medical education"
"347","medical records"
"348","medical treatment"
"349","medication"
"350","medication adherence"
"351","medicine"
"352","melanoma"
"353","mental"
"354","mental disorders"
"355","mental health"
"356","mental health care"
"357","mental health services"
"358","meta-analysis"
"359","methods"
"360","mexico"
"361","mhealth"
"362","middle-income countries"
"363","military"
"364","mixed methods"
"365","mobile"
"366","mobile app"
"367","mobile application"
"368","mobile applications"
"369","mobile apps"
"370","mobile health"
"371","mobile health applications"
"372","mobile phone"
"373","mobile phones"
"374","mobile stroke unit"
"375","mobile technology"
"376","mobile telemedicine"
"377","mobility"
"378","model"
"379","modeling"
"380","models of care"
"381","monitoring"
"382","mortality"
"383","multidisciplinary"
"384","multidisciplinary care"
"385","multiple sclerosis"
"386","musculoskeletal"
"387","myocardial infarction"
"388","neck"
"389","network"
"390","neuroimaging"
"391","neurology"
"392","neurorehabilitation"
"393","neurosurgery"
"394","non-inferiority"
"395","novel coronavirus"
"396","nurses"
"397","nursing"
"398","nursing care"
"399","nutrition"
"400","obesity"
"401","observational study"
"402","obstetrics"
"403","obstructive sleep apnea"
"404","occupational therapy"
"405","older adult"
"406","older adults"
"407","older people"
"408","oncology"
"409","online"
"410","ophthalmology"
"411","oral health"
"412","organization"
"413","orthopaedic"
"414","orthopaedics"
"415","osteoarthritis"
"416","osteoporosis"
"417","otolaryngology"
"418","outcome"
"419","outcome measures"
"420","outcomes"
"421","outpatient"
"422","outpatients"
"423","outreach"
"424","overweight"
"425","pain"
"426","pain management"
"427","palliative care"
"428","pandemic"
"429","pandemics"
"430","parent"
"431","parents"
"432","parkinson's disease"
"433","pathology"
"434","patient"
"435","patient-centered care"
"436","patient adherence"
"437","patient care"
"438","patient compliance"
"439","patient education"
"440","patient engagement"
"441","patient management"
"442","patient outcomes"
"443","patient portals"
"444","patient preference"
"445","patient safety"
"446","patient satisfaction"
"447","patients"
"448","pediatric"
"449","pediatrics"
"450","peer support"
"451","perception"
"452","personal health record"
"453","personal protective equipment"
"454","pharmacotherapy"
"455","pharmacy"
"456","physical"
"457","physical activity"
"458","physical examination"
"459","physical function"
"460","physical health"
"461","physical therapy"
"462","physicians"
"463","physiotherapy"
"464","pneumonia"
"465","policy"
"466","position paper"
"467","postoperative"
"468","postpartum"
"469","posttraumatic stress disorder"
"470","practice guidelines"
"471","pregnancy"
"472","prep"
"473","prevention"
"474","primary"
"475","primary care"
"476","primary care physician"
"477","primary health care"
"478","primary healthcare"
"479","primary prevention"
"480","prison"
"481","privacy"
"482","project echo"
"483","protection"
"484","protocol"
"485","psychiatry"
"486","psychotherapy"
"487","ptsd"
"488","public health"
"489","pulmonary"
"490","pulmonary disease"
"491","pulmonary rehabilitation"
"492","qualitative"
"493","qualitative research"
"494","qualitative study"
"495","quality"
"496","quality assessment"
"497","quality improvement"
"498","quality of care"
"499","quality of life"
"500","quarantine"
"501","questionnaires"
"502","radiotherapy"
"503","randomised"
"504","randomized controlled trial"
"505","range of motion"
"506","rct"
"507","readmission"
"508","readmissions"
"509","recommendations"
"510","records"
"511","referral"
"512","rehabilitation"
"513","rehabilitation medicine"
"514","reimbursement"
"515","remote"
"516","remote care"
"517","remote consultation"
"518","remote consultations"
"519","remote monitoring"
"520","remote patient monitoring"
"521","research"
"522","residents"
"523","respiratory"
"524","retention"
"525","retinal imaging"
"526","retinopathy"
"527","retinopathy of prematurity"
"528","review"
"529","rheumatology"
"530","risk factors"
"531","robotics"
"532","rural"
"533","rural areas"
"534","rural communities"
"535","rural health"
"536","safety"
"537","sars-cov-2"
"538","satisfaction"
"539","school"
"540","scoping review"
"541","screening"
"542","secondary prevention"
"543","security"
"544","self-care"
"545","self-efficacy"
"546","self-management"
"547","sensors"
"548","service"
"549","service delivery"
"550","simulation"
"551","skin"
"552","skin cancer"
"553","sleep"
"554","smartphone"
"555","smartphone app"
"556","smartphone applications"
"557","smartphone apps"
"558","smartphones"
"559","smoking cessation"
"560","social"
"561","social distancing"
"562","social media"
"563","specificity"
"564","speech"
"565","spinal cord injury"
"566","sports"
"567","standards"
"568","stepped"
"569","stigma"
"570","store"
"571","store-"
"572","strategies"
"573","strategy"
"574","stroke"
"575","stroke rehabilitation"
"576","subspecialty"
"577","substance use"
"578","substance use disorder"
"579","suicide"
"580","support"
"581","supportive care"
"582","surgery"
"583","surgical procedure"
"584","survey"
"585","surveys"
"586","survival"
"587","sustainability"
"588","sustained"
"589","symptom management"
"590","synchronous"
"591","system of care"
"592","systematic literature review"
"593","systematic review"
"594","systematic reviews"
"595","systems of care"
"596","tablet"
"597","tbi"
"598","technologies"
"599","technology"
"600","tele-consultation"
"601","tele-education"
"602","tele-medicine"
"603","tele-rehabilitation"
"604","telecardiology"
"605","telecare"
"606","telecommunication"
"607","telecommunications"
"608","teleconference"
"609","teleconsultation"
"610","teledentistry"
"611","teledermatology"
"612","telehealth"
"613","telemedicine"
"614","telemedicine services"
"615","telemental health"
"616","telementoring"
"617","telemonitoring"
"618","teleneurology"
"619","telenursing"
"620","teleophthalmology"
"621","telepathology"
"622","telepharmacy"
"623","telephone"
"624","telepsychiatry"
"625","teleradiology"
"626","telerehabilitation"
"627","telestroke"
"628","text messaging"
"629","thematic analysis"
"630","theory"
"631","therapeutic alliance"
"632","therapy"
"633","thrombectomy"
"634","thrombolysis"
"635","tics"
"636","time"
"637","tissue plasminogen activator"
"638","tomography"
"639","tpa"
"640","training"
"641","transition"
"642","transport"
"643","trauma"
"644","traumatic brain injury"
"645","travel"
"646","treatment"
"647","treatment adherence"
"648","treatment outcome"
"649","triage"
"650","trial"
"651","trust"
"652","type 1 diabetes"
"653","type 2"
"654","type 2 diabetes"
"655","ultrasound"
"656","underserved"
"657","underserved populations"
"658","united states"
"659","urinary incontinence"
"660","usability"
"661","user"
"662","value"
"663","veteran"
"664","veterans"
"665","veterans affairs"
"666","video"
"667","video communication"
"668","video conferencing"
"669","video consultation"
"670","video consultations"
"671","videoconference"
"672","videoconferencing"
"673","virtual"
"674","virtual care"
"675","virtual reality"
"676","virtual visit"
"677","virtual visits"
"678","visits"
"679","vital signs"
"680","wearable"
"681","wearable devices"
"682","wearable sensors"
"683","wearables"
"684","web"
"685","web-based"
"686","weight"
"687","weight loss"
"688","workforce"
"689","wounds"
"690","young adult"
"691","youth"
"692","abortion service"
"693","abortion services"
"694","academic medical"
"695","academic medical center"
"696","access barriers"
"697","accurate diagnosis"
"698","action plans"
"699","active intervention"
"700","active treatment"
"701","activity level"
"702","acute exacerbation"
"703","acute exacerbations"
"704","acute ischemic"
"705","acute ischemic stroke patients"
"706","acute myocardial"
"707","acute respiratory"
"708","acute respiratory failure"
"709","acute respiratory failure patients"
"710","acute respiratory syndrome"
"711","acute respiratory syndrome coronavirus"
"712","acute stroke treatment"
"713","additional relevant"
"714","additional relevant studies"
"715","additional research"
"716","additional studies"
"717","adequately powered"
"718","admission rates"
"719","adult patients"
"720","adult population"
"721","advanced technology"
"722","adverse effect"
"723","adverse effects"
"724","adverse events"
"725","advisory secretariat"
"726","african american"
"727","aging population"
"728","airway pressure"
"729","all-cause mortality"
"730","allied health literature"
"731","allied health professionals"
"732","allocation concealment"
"733","alternative method"
"734","american academy"
"735","analogue scale"
"736","analysis showed"
"737","animal studies"
"738","anxiety disorder"
"739","appraisal skills"
"740","appraisal skills program"
"741","appraisal skills programme"
"742","areas covered"
"743","arterial blood"
"744","arterial blood gases"
"745","arterial partial"
"746","arterial partial pressure"
"747","arterial pressure"
"748","artery disease"
"749","article describes"
"750","article discusses"
"751","article presents"
"752","article reviews"
"753","articles describe"
"754","articles describing"
"755","articles identified"
"756","articles meeting"
"757","articles published"
"758","articles related"
"759","articles remained"
"760","articles reporting"
"761","assess patient"
"762","assessed taking"
"763","assessment websites"
"764","asthma control"
"765","authors independently"
"766","authors independently screened"
"767","authors screened"
"768","autism spectrum"
"769","barriers include"
"770","based intervention"
"771","based interventions"
"772","based rehabilitation"
"773","based strategies"
"774","based telemedicine"
"775","baseline characteristics"
"776","before-after studies"
"777","behavior change"
"778","behavioral interventions"
"779","behavioral treatment"
"780","behaviour change"
"781","behavioural change"
"782","behavioural therapy"
"783","beneficial effect"
"784","beneficial effects"
"785","bibliographic databases"
"786","bilevel positive"
"787","bilevel positive airway"
"788","bilevel positive airway pressure"
"789","blood gases"
"790","blood glucose"
"791","blood pressure control"
"792","bowel disease"
"793","briggs institute"
"794","broad range"
"795","cancer diagnosis"
"796","cancer patient"
"797","cancer patients"
"798","cancer screening"
"799","cancer surgery"
"800","cancer survivors"
"801","cancer treatment"
"802","carbon dioxide"
"803","cardiac patients"
"804","case-case studies"
"805","central register"
"806","challenges related"
"807","chart review"
"808","chronic condition"
"809","chronic conditions"
"810","chronic health"
"811","chronic health conditions"
"812","chronic heart"
"813","chronic illnesses"
"814","chronic kidney"
"815","chronic obstructive pulmonary"
"816","chronic obstructive pulmonary disease mega-analysis"
"817","chronic obstructive pulmonary disease patients"
"818","chronic pulmonary"
"819","chronic respiratory"
"820","chronic respiratory disease"
"821","chronic respiratory diseases"
"822","chronic respiratory failure patients"
"823","citation index"
"824","clinic visit"
"825","clinic visits"
"826","clinical application"
"827","clinical applications"
"828","clinical benefit"
"829","clinical benefits"
"830","clinical condition"
"831","clinical conditions"
"832","clinical consultations"
"833","clinical decision"
"834","clinical decision making"
"835","clinical effect"
"836","clinical effectiveness"
"837","clinical efficacy"
"838","clinical epidemiologist"
"839","clinical examination"
"840","clinical guideline"
"841","clinical heterogeneity"
"842","clinical information"
"843","clinical management"
"844","clinical outcome"
"845","clinical practice"
"846","clinical practice guideline"
"847","clinical research"
"848","clinical scenarios"
"849","clinical service"
"850","clinical services"
"851","clinical setting"
"852","clinical settings"
"853","clinical staff"
"854","clinical status"
"855","clinical studies"
"856","clinical trials"
"857","clinical trials registry"
"858","clinical trials registry platform"
"859","clinical video"
"860","clinically meaningful"
"861","clinically significant"
"862","clinically significant improvement"
"863","clinician satisfaction"
"864","cochrane airways"
"865","cochrane central"
"866","cochrane central register"
"867","cochrane collaboration"
"868","cochrane database"
"869","cochrane databases"
"870","cochrane library"
"871","cochrane library databases"
"872","cochrane review"
"873","cognitive behavior"
"874","cognitive behavioral"
"875","cognitive behavioural"
"876","cognitive decline"
"877","cognitive function"
"878","cognitive impairment"
"879","cognitive rehabilitation"
"880","cohort studies"
"881","cohort study"
"882","common chronic"
"883","common complications"
"884","communicable diseases"
"885","communication skills"
"886","communication systems"
"887","communications technology"
"888","community-based multidisciplinary"
"889","community health"
"890","community health workers"
"891","community healthcare"
"892","community hospitals"
"893","community setting"
"894","comparative studies"
"895","comparing telehealth"
"896","comparison group"
"897","complex medical"
"898","comprehensive literature"
"899","comprehensive literature review"
"900","comprehensive review"
"901","comprehensive search"
"902","comprehensive stroke"
"903","comprehensive stroke center"
"904","conference proceedings"
"905","confidence interval"
"906","confidence intervals"
"907","congestive heart"
"908","congestive heart failure"
"909","consecutive patients"
"910","consideration allocation"
"911","consideration allocation concealment"
"912","considered significant"
"913","consultation program"
"914","consultation service"
"915","consultation services"
"916","consultation system"
"917","content analysis"
"918","continuous monitoring"
"919","continuous positive"
"920","continuous positive airway"
"921","control group"
"922","control groups"
"923","control intervention"
"924","control trial"
"925","control trials"
"926","controlled before-after"
"927","controlled before-after studies"
"928","controlled clinical"
"929","controlled clinical trial"
"930","controlled clinical trials"
"931","controlled studies"
"932","controlled study"
"933","controlled trial"
"934","controlled trial background"
"935","controlled trials"
"936","controlled trials comparing"
"937","controlled trials evaluating"
"938","controlled trials published"
"939","conventional face-to-face"
"940","coronary heart"
"941","coronavirus disease"
"942","cost-effectiveness ratio"
"943","covid-19 infection"
"944","covid-19 outbreak"
"945","covid-19 patient"
"946","covid-19 patients"
"947","criteria included"
"948","critical appraisal"
"949","critical appraisal skills"
"950","critical appraisal skills program"
"951","critical appraisal skills programme"
"952","critical review"
"953","critically appraise"
"954","critically review"
"955","cumulative index"
"956","current covid-19"
"957","current covid-19 pandemic"
"958","current evidence"
"959","current knowledge"
"960","current literature"
"961","current pandemic"
"962","current practice"
"963","current research"
"964","current review"
"965","current state"
"966","current status"
"967","current study"
"968","daily living"
"969","daily practice"
"970","database search"
"971","database searches"
"972","databases including"
"973","deaths worldwide"
"974","decision support system"
"975","decision support systems"
"976","decreased costs"
"977","defined based"
"978","deliver health"
"979","delivering health"
"980","delivery method"
"981","delivery methods"
"982","delivery model"
"983","delivery models"
"984","delivery system"
"985","delivery systems"
"986","demonstrated significant"
"987","department visits"
"988","depressive disorder"
"989","depressive symptom"
"990","depressive symptoms"
"991","dermatology consultation"
"992","dermatology consultations"
"993","dermatology services"
"994","descriptive statistics"
"995","developed countries"
"996","diabetes patients"
"997","diabetes prevention"
"998","diabetes self-management"
"999","diabetes self-management education"
"1000","diagnostic accuracy"
"1001","digital health interventions"
"1002","digital health solutions"
"1003","digital health technologies"
"1004","digital image"
"1005","digital images"
"1006","digital intervention"
"1007","digital interventions"
"1008","digital library"
"1009","direct access"
"1010","direct patient"
"1011","disease activity"
"1012","disease burden"
"1013","disease control"
"1014","disease mega-analysis"
"1015","disease mega-analysis series"
"1016","disease patient"
"1017","disease patients"
"1018","disease prevention"
"1019","disease progression"
"1020","disease trajectory"
"1021","disorder treatment"
"1022","dissemination database"
"1023","diverse populations"
"1024","duplicate publications"
"1025","dyspnea score"
"1026","e-health intervention"
"1027","early detection"
"1028","early discharge"
"1029","early identification"
"1030","early intervention"
"1031","early stage"
"1032","early stages"
"1033","early symptoms"
"1034","easily access"
"1035","easily accessible"
"1036","eating disorders"
"1037","ebsco cumulative"
"1038","ebsco cumulative index"
"1039","economic analysis"
"1040","economic burden"
"1041","economic evaluations"
"1042","economic impact"
"1043","economic outcomes"
"1044","education intervention"
"1045","education program"
"1046","education programs"
"1047","educational interventions"
"1048","effect estimates"
"1049","effect sizes"
"1050","effective alternative"
"1051","effective health"
"1052","effective intervention"
"1053","effective interventions"
"1054","effective means"
"1055","effective method"
"1056","effective option"
"1057","effective practice"
"1058","effective screening"
"1059","effective solution"
"1060","effective treatment"
"1061","effective treatments"
"1062","effectively reduce"
"1063","effectiveness studies"
"1064","effects model"
"1065","effects models"
"1066","ehealth applications"
"1067","ehealth initiatives"
"1068","ehealth intervention"
"1069","ehealth interventions"
"1070","ehealth modalities"
"1071","ehealth service"
"1072","ehealth services"
"1073","ehealth solutions"
"1074","ehealth studies"
"1075","ehealth technologies"
"1076","ehealth technology"
"1077","ehealth tools"
"1078","elderly individuals"
"1079","elderly people"
"1080","elderly population"
"1081","elective procedures"
"1082","elective surgeries"
"1083","elective surgery"
"1084","electronic communication"
"1085","electronic database"
"1086","electronic databases"
"1087","electronic device"
"1088","electronic medical"
"1089","electronic medical record"
"1090","electronic medical records"
"1091","electronic search"
"1092","electronic searches"
"1093","elevation myocardial"
"1094","elevation myocardial infarction"
"1095","eleven studies"
"1096","eligibility criteria"
"1097","eligible articles"
"1098","eligible patients"
"1099","eligible studies"
"1100","embase databases"
"1101","emergency department visits"
"1102","emergency departments"
"1103","emergency medical"
"1104","emergency medical service"
"1105","emergency physicians"
"1106","emergency treatment"
"1107","emerging evidence"
"1108","emerging field"
"1109","emerging technologies"
"1110","empirical literature"
"1111","empirical studies"
"1112","english language"
"1113","english language articles"
"1114","english language publications"
"1115","english papers"
"1116","enhance access"
"1117","enhance patient"
"1118","enrolled patients"
"1119","ensure patient"
"1120","enteral nutrition"
"1121","environmental factors"
"1122","epidemiologists reviewed"
"1123","equitable access"
"1124","ethical issues"
"1125","evaluate interventions"
"1126","evaluate telehealth"
"1127","evidence-based analyses"
"1128","evidence-based analysis"
"1129","evidence-based intervention"
"1130","evidence-based interventions"
"1131","evidence-based practice"
"1132","evidence-based review"
"1133","evidence-based treatment"
"1134","evidence-based treatments"
"1135","evidence acquisition"
"1136","evidence database"
"1137","evidence exists"
"1138","evidence review"
"1139","evidence showed"
"1140","evidence suggests"
"1141","evidence supporting"
"1142","evidence supports"
"1143","evidence synthesis"
"1144","evidentiary framework"
"1145","evidentiary platform"
"1146","excerpta medica"
"1147","excerpta medica database"
"1148","exclusion criteria"
"1149","exercise adherence"
"1150","exercise capacity"
"1151","exercise intervention"
"1152","exercise program"
"1153","exercise therapy"
"1154","exercise tolerance"
"1155","existing evidence"
"1156","existing health"
"1157","existing literature"
"1158","existing research"
"1159","existing studies"
"1160","existing technologies"
"1161","expand access"
"1162","expanding access"
"1163","experienced significant"
"1164","experiencing acute"
"1165","experimental studies"
"1166","expert opinion"
"1167","expiratory volume"
"1168","extracted information"
"1169","face-to-face consultation"
"1170","face-to-face consultations"
"1171","face-to-face delivery"
"1172","face-to-face intervention"
"1173","face-to-face interventions"
"1174","face-to-face rehabilitation"
"1175","face-to-face therapy"
"1176","face-to-face treatment"
"1177","face-to-face visit"
"1178","face-to-face visits"
"1179","facilitate access"
"1180","facilitate communication"
"1181","factors including"
"1182","factors influencing"
"1183","faculty member"
"1184","failure patients"
"1185","family members"
"1186","family physician"
"1187","feasibility studies"
"1188","feasibility study"
"1189","fewer patients"
"1190","final analysis"
"1191","final review"
"1192","findings suggest"
"1193","focus group"
"1194","follow-up consultation"
"1195","follow-up period"
"1196","follow-up visit"
"1197","follow-up visits"
"1198","forced expiratory"
"1199","forced expiratory volume"
"1200","forward teledermatology"
"1201","fourteen studies"
"1202","frequent contact"
"1203","full-text articles"
"1204","full-text review"
"1205","fully implemented"
"1206","functional limitations"
"1207","functional outcome"
"1208","functional outcomes"
"1209","functional status"
"1210","future development"
"1211","future direction"
"1212","future directions"
"1213","future perspectives"
"1214","future research"
"1215","future studies"
"1216","gastrointestinal disorders"
"1217","general population"
"1218","general practices"
"1219","general practitioner"
"1220","general practitioners"
"1221","generally higher"
"1222","geographic location"
"1223","global burden"
"1224","global initiative"
"1225","global pandemic"
"1226","glucose monitoring"
"1227","glycaemic control"
"1228","glycemic control"
"1229","google scholar"
"1230","grade working"
"1231","grade working group"
"1232","grade working group criteria"
"1233","great potential"
"1234","great promise"
"1235","group compared"
"1236","group criteria"
"1237","group experienced"
"1238","group included"
"1239","group received"
"1240","group receiving"
"1241","group specialised"
"1242","group specialised register"
"1243","group trials"
"1244","group trials register"
"1245","growing interest"
"1246","growing number"
"1247","growing population"
"1248","guidelines recommend"
"1249","hazard ratio"
"1250","hba1c level"
"1251","health-related quality"
"1252","health administration"
"1253","health application"
"1254","health applications"
"1255","health behaviors"
"1256","health center"
"1257","health challenge"
"1258","health clinic"
"1259","health coach"
"1260","health concern"
"1261","health condition"
"1262","health conditions"
"1263","health consultation"
"1264","health crisis"
"1265","health delivery"
"1266","health disorders"
"1267","health economic"
"1268","health education"
"1269","health emergency"
"1270","health impact"
"1271","health include"
"1272","health information"
"1273","health information systems"
"1274","health infrastructure"
"1275","health initiatives"
"1276","health innovation"
"1277","health innovations"
"1278","health insurance"
"1279","health insurance portability"
"1280","health intervention"
"1281","health interventions"
"1282","health issue"
"1283","health issues"
"1284","health literature"
"1285","health management"
"1286","health model"
"1287","health organization"
"1288","health outcome"
"1289","health patients"
"1290","health practice"
"1291","health problem"
"1292","health problems"
"1293","health professional"
"1294","health professionals"
"1295","health program"
"1296","health programs"
"1297","health projects"
"1298","health provide"
"1299","health provider"
"1300","health providers"
"1301","health record"
"1302","health records"
"1303","health research"
"1304","health resource"
"1305","health resources"
"1306","health solutions"
"1307","health specialist"
"1308","health specialists"
"1309","health status"
"1310","health strategies"
"1311","health stroke"
"1312","health stroke scale"
"1313","health support"
"1314","health survey"
"1315","health system"
"1316","health system outcomes"
"1317","health system strategy"
"1318","health system strategy division"
"1319","health technologies"
"1320","health technology assessment"
"1321","health technology assessment websites"
"1322","health technology assessments"
"1323","health tools"
"1324","health treatment"
"1325","health video"
"1326","health visits"
"1327","health worker"
"1328","health workers"
"1329","health workforce"
"1330","healthcare costs"
"1331","healthcare facilities"
"1332","healthcare outcomes"
"1333","healthcare professional"
"1334","healthcare professionals"
"1335","healthcare provider"
"1336","healthcare resource"
"1337","healthcare resources"
"1338","healthcare service"
"1339","healthcare system"
"1340","healthcare systems"
"1341","healthcare workers"
"1342","heart failure patients"
"1343","high-income countries"
"1344","high-quality research"
"1345","higher incidence"
"1346","higher level"
"1347","higher mortality"
"1348","higher rates"
"1349","highest level"
"1350","highly prevalent"
"1351","highly relevant"
"1352","home-based exercise"
"1353","home-based rehabilitation"
"1354","hospital-at-home programs"
"1355","hospital admission"
"1356","hospital admissions"
"1357","hospital discharge"
"1358","hospital length"
"1359","hospital mortality"
"1360","hospital readmission"
"1361","hospital readmissions"
"1362","hospital setting"
"1363","hospital settings"
"1364","hospital stays"
"1365","hospital visits"
"1366","human factor"
"1367","human immunodeficiency"
"1368","human resources"
"1369","hypertension management"
"1370","hypertensive patient"
"1371","hypertensive patients"
"1372","identified barriers"
"1373","identified studies"
"1374","identified trials"
"1375","identify potential"
"1376","identify relevant"
"1377","identify studies"
"1378","image analysis"
"1379","immunodeficiency virus"
"1380","implementation outcomes"
"1381","implementing telehealth"
"1382","implementing video"
"1383","important factor"
"1384","important impact"
"1385","important information"
"1386","improve access"
"1387","improve adherence"
"1388","improve clinical"
"1389","improve clinical outcome"
"1390","improve clinical outcomes"
"1391","improve communication"
"1392","improve glycemic"
"1393","improve health"
"1394","improve health outcomes"
"1395","improve healthcare"
"1396","improve medication"
"1397","improve medication adherence"
"1398","improve outcome"
"1399","improve outcomes"
"1400","improve patient"
"1401","improve patient access"
"1402","improve patient outcomes"
"1403","improve patients"
"1404","improve quality"
