,x,,,,group
92,mobile health,,,,Telemedicine
93,pregnancy,,,,
94,psychoeducation,,,,
95,review shows,,,,
96,self-care,,,,
97,short message service,,,,
98,smoking cessation,,,,
99,systematic literature search,,,,
100,text messaging,,,,
101,usability,,,,
102,access to care,,,,
103,health-care,,,,
104,narrative review,,,,
105,patient-reported outcomes,,,,
106,caregiver,,,,
107,emerging technology,,,,
108,health-related quality of life,,,,
109,meta-analysis,,,,
110,meta-analysis background,,,,
111,stroke,,,,
112,cost effectiveness,,,,Economic
113,dermatology,,,,
114,healthcare,,,,
115,improve access,,,,
116,privacy,,,,
117,quality of care,,,,
118,teledermatology,,,,Telemedicine
119,video,,,,
120,cost-effectiveness ratio,,,,Economic
121,diabetes,,,,
122,economic benefits,,,,Economic
123,economic evaluation,,,,Economic
124,future research,,,,
125,literature search,,,,
126,qaly,,,,Economic
127,quality-adjusted,,,,
128,studies identified,,,,
129,study quality,,,,
130,systematically review,,,,
131,telemonitoring,,,,Telemedicine
132,teleophthalmology,,,,Telemedicine
133,telephone,,,,
134,guidelines,,,,
135,limitations,,,,
136,telepsychiatry,,,,Telemedicine
137,videoconferencing,,,,
138,knee,,,,
139,limited evidence,,,,
140,methodological quality,,,,
141,pathology,,,,
142,selected studies,,,,
143,telerehabilitation intervention,,,,Telemedicine
144,current literature,,,,
145,ehealth,,,,Telemedicine
146,ehealth technology,,,,Telemedicine
147,electronic health,,,,Telemedicine
148,exercise,,,,
149,low-,,,,
150,monitoring,,,,
151,screening,,,,
152,smartphone,,,,
153,strategies,,,,
154,general practice,,,,
155,patient population,,,,
156,e-health,,,,Telemedicine
157,health,,,,
158,health information,,,,
159,health status,,,,
160,m-health,,,,Telemedicine
161,self-management,,,,
162,digital,,,,
163,digital health,,,,Telemedicine
164,improve outcomes,,,,
165,mobile technology,,,,
166,ultrasound,,,,
167,musculoskeletal,,,,
168,telestroke,,,,Telemedicine
169,cost analysis,,,,Economic
170,diagnosis,,,,
171,limited number,,,,
172,systematic search,,,,
173,deployment,,,,
174,evaluation,,,,
175,older adult,,,,
176,selection criteria,,,,
177,sensors,,,,
178,cost savings,,,,Economic
179,nurses,,,,
180,potential benefits,,,,
181,remote areas,,,,
182,rural,,,,
183,study selection,,,,
184,intensive care unit,,,,
185,length of stay,,,,
186,mortality,,,,
187,survival,,,,
188,variable,,,,
189,adult,,,,
190,healthy,,,,
191,increased access,,,,
192,prisma guidelines,,,,
193,standard deviation,,,,
194,australia,,,,
195,electronic databases,,,,
196,great potential,,,,
197,models of care,,,,
198,people living,,,,
199,policy makers,,,,
200,reference lists,,,,
201,rural areas,,,,
202,assessment,,,,
203,cost-saving,,,,Economic
204,economic analysis,,,,Economic
205,economic impact,,,,Economic
206,searched pubmed,,,,
207,teleconsultation,,,,Telemedicine
208,cochrane library,,,,
209,health condition,,,,
210,studies published,,,,
211,trial registration,,,,
212,cardiovascular disease,,,,
213,chronic,,,,
214,clinical outcome,,,,
215,clinical practice,,,,
216,diabetes mellitus,,,,
217,follow-up,,,,
218,innovation,,,,
219,joanna briggs institute,,,,
220,mhealth technology,,,,Telemedicine
221,mobile phone,,,,
222,exclusion criteria,,,,
223,facilitators,,,,
224,studies reviewed,,,,
225,diagnostic accuracy,,,,
226,increasing access,,,,
227,cost-efficient,,,,
228,current state,,,,
229,healthcare delivery,,,,
230,pediatric,,,,
231,surgery,,,,
232,telemedicine program,,,,Telemedicine
233,economic,,,,
234,healthcare services,,,,
235,remote monitoring,,,,
236,elderly,,,,
237,low-cost,,,,
238,public health,,,,
239,recent years,,,,
240,wearable,,,,
241,chronic disease management,,,,
242,disease management,,,,
243,security,,,,
244,value,,,,
245,appointment,,,,
246,cochrane collaboration,,,,
247,consultation,,,,
248,information technology,,,,
249,observational study,,,,
250,search terms,,,,
251,triage,,,,
252,current evidence,,,,
253,quality assessment,,,,
254,reviewed studies,,,,
255,telehealth intervention,,,,Telemedicine
256,mixed results,,,,
257,patient outcomes,,,,
258,telecare,,,,
259,hypertension,,,,
260,adverse events,,,,
261,cochrane central register,,,,
262,confidence interval,,,,
263,depressive symptoms,,,,
264,healthcare professional,,,,
265,inappropriate,,,,
266,increasing number,,,,
267,low-quality evidence,,,,
268,mixed methods,,,,
269,moderate-quality evidence,,,,
270,primary outcome,,,,
271,remote location,,,,
272,review author,,,,
273,review examined,,,,
274,search methods,,,,
275,studies evaluated,,,,
276,trials reported,,,,
277,chronic disease,,,,
278,improve patient,,,,
279,inflammatory bowel disease,,,,
280,quality of life,,,,
281,remote patient monitoring,,,,
282,collaborative,,,,
283,health system,,,,
284,integrated care,,,,
285,control group,,,,
286,digital intervention,,,,
287,healthcare costs,,,,Economic
288,lmic,,,,
289,middle-income country,,,,
290,mobile device,,,,
291,study design,,,,
292,type 2 diabetes,,,,
293,clinical research,,,,
294,improve patient outcomes,,,,
295,point-of-care,,,,
296,algorithms,,,,
297,asthma,,,,
298,chronic obstructive pulmonary disease,,,,
299,heart failure,,,,
300,patient education,,,,
301,literature review,,,,
302,compliance,,,,
303,cardiology,,,,
304,chronic heart failure,,,,
305,france,,,,
306,morbidity,,,,
307,copd,,,,
308,early detection,,,,
309,english language,,,,
310,limited access,,,,
311,randomised controlled trial,,,,
312,adolescence,,,,
313,approval,,,,
314,childhood,,,,
315,clinical trial,,,,
316,economic outcomes,,,,Economic
317,united kingdom,,,,
318,disability,,,,
319,studies showed,,,,
320,communication technology,,,,
321,eligibility criteria,,,,
322,future study,,,,
323,outcomes related,,,,
324,outpatient,,,,
325,pharmacist,,,,
326,positive impact,,,,
327,research question,,,,
328,studies focused,,,,
329,imaging,,,,
330,dissemination,,,,
331,in-person visit,,,,
332,obesity,,,,
333,oncology,,,,
334,qualitative study,,,,
335,scoping review,,,,
336,telecommunication,,,,
337,physical activity,,,,
338,artificial intelligence,,,,
339,cost-effective strategy,,,,
340,improving access,,,,
341,small sample sizes,,,,
342,trends,,,,
343,clinical benefit,,,,
344,evidence-base,,,,
345,cardiac rehabilitation,,,,
346,independent reviewers,,,,
347,secondary prevention,,,,
348,significant improvement,,,,
349,included articles,,,,
350,narrative synthesis,,,,
351,reduce costs,,,,
352,diabetic retinopathy,,,,
353,digital technology,,,,
354,searched medline,,,,
355,blood pressure,,,,
356,mobile health application,,,,Telemedicine
357,mobile health technology,,,,Telemedicine
358,high-income countries,,,,
359,collaborative care,,,,
360,dementia,,,,
361,older patients,,,,
362,psychotherapy,,,,
363,randomized controlled trial,,,,
364,cost-benefit analysis,,,,Economic
365,cost-effectiveness analyses,,,,Economic
366,cost-effectiveness analysis,,,,Economic
367,cost-utility analysis,,,,Economic
368,identified studies,,,,
369,included study,,,,
370,mobile app,,,,
371,telephone support,,,,
372,adverse effects,,,,
373,mobile,,,,
374,recommendations assessment,,,,
375,virtual reality,,,,
376,store,,,,
377,developing countries,,,,
378,india,,,,
379,behavior,,,,
380,engaged,,,,
381,interventions delivered,,,,
382,study aimed,,,,
383,behavior change,,,,
384,widespread adoption,,,,
385,aged,,,,
386,relevant studies,,,,
387,diet,,,,
388,self-monitoring,,,,
389,systematic review aimed,,,,
390,service delivery,,,,
391,pain,,,,
392,search strategy,,,,
393,variation,,,,
394,web-based,,,,
395,self-efficacy,,,,
396,medical device,,,,
397,potential applications,,,,
398,recent advances,,,,
399,restrict,,,,
400,dietary,,,,
401,urgently needed,,,,
402,ehealth intervention,,,,Telemedicine
403,pubmed database,,,,
404,e-consult,,,,Telemedicine
405,articles published,,,,
406,trauma,,,,
407,workforce,,,,
408,health-related,,,,
409,mapped,,,,
410,small number,,,,
411,telehealth technology,,,,Telemedicine
412,improve adherence,,,,
413,intervention studies,,,,
414,decision makers,,,,
415,dialysis,,,,
416,postoperative,,,,
417,display record,,,,
418,health professional,,,,
419,meta-analyses guidelines,,,,
420,significant difference,,,,
421,study participants,,,,
422,systematically searched,,,,
423,evidence synthesis,,,,
424,forward,,,,
425,studies investigated,,,,
426,review aimed,,,,
427,funding,,,,
428,predict,,,,
429,review focuses,,,,
430,telehealth service,,,,Telemedicine
431,developed countries,,,,
432,social distancing,,,,
433,telemedicine application,,,,Telemedicine
434,health technology assessment,,,,Telemedicine
435,ambulance,,,,
436,video consultation,,,,
437,current covid-19,,,,
438,adult patient,,,,
439,child,,,,
440,decision support,,,,
441,global health,,,,
442,health worker,,,,
443,thematic analysis,,,,
444,australian,,,,
445,studies report,,,,
446,health research,,,,
447,national institute,,,,
448,cochrane database,,,,
449,readmission,,,,
450,telehealth program,,,,Telemedicine
451,internet-based,,,,
452,africa,,,,
453,published literature,,,,
454,apply,,,,
455,telemedicine intervention,,,,Telemedicine
456,conflict,,,,
457,referral,,,,
458,science direct,,,,
459,costly,,,,
460,mental health care,,,,
461,disparity,,,,
462,emergency department,,,,
463,chronic kidney disease ckd,,,,
464,grade approach,,,,
465,healthcare provider,,,,
466,appraise,,,,
467,mental illness,,,,
468,chronic condition,,,,
469,health service,,,,
470,encouraged,,,,
471,school,,,,
472,review highlights,,,,
473,smartphone application,,,,
474,leveraged,,,,
475,evidence suggests,,,,
476,conference proceedings,,,,
477,beneficial effect,,,,
478,previous review,,,,
479,secondary outcome,,,,
480,large number,,,,
481,statistically significant,,,,
482,clinical effects,,,,
483,veteran,,,,
484,health economic,,,,Economic
485,outcome measure,,,,
486,process evaluation,,,,
487,studies include,,,,
488,evidence supports,,,,
489,existing evidence,,,,
490,positive effect,,,,
491,current controlled trials,,,,
492,journals library website,,,,
493,project information,,,,
494,interventions provide,,,,
495,young adult,,,,
496,health technology assessment programme,,,,
497,health outcome,,,,
498,hospital admission,,,,
499,infectious disease,,,,
500,mental health service,,,,
501,studies compared,,,,
502,simulation,,,,
503,intervention group,,,,
504,mental disorder,,,,
505,significant reduction,,,,
506,technology-based intervention,,,,
507,peer-reviewed journal,,,,
508,telemedicine service,,,,Telemedicine
509,hospitalised,,,,
510,respiratory disease,,,,
511,digital health intervention,,,,
512,national health service,,,,
513,intervention effect,,,,
514,mobile application,,,,
515,psychological intervention,,,,
516,carer,,,,
517,randomised trial,,,,
518,intervention costs,,,,
519,patients received,,,,
520,applicant,,,,
521,controlled trial,,,,
522,approximate,,,,
